Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Washington Capitals,Alex Ovechkin,RU,LW,18,2022,Dynamo Moscow (Russia),1251,763,622,1385,82,741,,,,,,,185.6
1,Pittsburgh Penguins,Sidney Crosby,CA,C,18,2022,Rimouski (QMJHL),1083,503,874,1377,193,719,,,,,,,166.6
1,St. Louis Blues,Erik Johnson,US,D,18,2022,U.S. National U-18 (USNTDP),835,86,235,321,-9,494,,,,,,,58.1
1,Chicago Blackhawks,Patrick Kane,US,RW,18,2022,London (OHL),1080,421,722,1143,42,402,,,,,,,130.1
1,Tampa Bay Lightning,Steven Stamkos,CA,C,18,2022,Sarnia (OHL),893,465,461,926,61,533,,,,,,,120
1,New York Islanders,John Tavares,CA,C,18,2022,London (OHL),923,381,488,869,-21,399,,,,,,,101.1
1,Edmonton Oilers,Taylor Hall,CA,LW,18,2022,Windsor (OHL),735,240,396,636,-45,404,,,,,,,71.9
1,Edmonton Oilers,Ryan Nugent-Hopkins,CA,C,18,2022,Red Deer (WHL),701,192,323,515,-44,233,,,,,,,51.7
1,Edmonton Oilers,Nail Yakupov,RU,RW,18,2018,Sarnia (OHL),350,62,74,136,-89,142,,,,,,,10.7
1,Colorado Avalanche,Nathan MacKinnon,CA,C,18,2022,Halifax (QMJHL),613,226,387,613,73,257,,,,,,,70.1
2,Pittsburgh Penguins,Evgeni Malkin,RU,C,18,2022,Magnitogorsk (KHL),960,434,694,1128,66,994,,,,,,,135.4
2,Anaheim Ducks,Bobby Ryan,US,LW,18,2021,Owen Sound (OHL),866,261,308,569,-12,470,,,,,,,64.7
2,Pittsburgh Penguins,Jordan Staal,CA,C,18,2022,Peterborough (OHL),1066,247,347,594,51,515,,,,,,,59.1
2,Philadelphia Flyers,James van Riemsdyk,US,LW,18,2022,U.S. National U-18 (USNTDP),851,276,269,545,-66,337,,,,,,,61.5
2,Los Angeles Kings,Drew Doughty,CA,D,18,2022,Guelph (OHL),1011,132,434,566,29,689,,,,,,,112.7
2,Tampa Bay Lightning,Victor Hedman,SE,D,18,2022,MoDo Ornskoldsvik ( ),869,125,444,569,137,612,,,,,,,97.7
2,Boston Bruins,Tyler Seguin,CA,C,18,2022,Plymouth (OHL),797,298,369,667,73,247,,,,,,,83.1
2,Colorado Avalanche,Gabriel Landeskog,SE,LW,18,2022,Kitchener (OHL),734,247,320,567,78,587,,,,,,,65.3
2,Columbus Blue Jackets,Ryan Murray,CA,D,18,2022,Everett (WHL),424,15,113,128,12,114,,,,,,,23.1
2,Florida Panthers,Aleksander Barkov,FI,C,18,2022,Tappara (Finland),570,206,308,514,64,106,,,,,,,58.3
3,Chicago Blackhawks,Cam Barker,CA,D,18,2013,Medicine Hat (WHL),310,21,75,96,-29,290,,,,,,,15.1
3,Carolina Hurricanes,Jack Johnson,US,D,18,2022,U.S. National U-18 (USNTDP),1001,72,239,311,-110,563,,,,,,,53.5
3,Chicago Blackhawks,Jonathan Toews,CA,C,18,2022,U. of North Dakota (WCHA),987,349,485,834,181,545,,,,,,,99.8
3,Phoenix Coyotes,Kyle Turris,CA,C,18,2022,Burnaby (BCHL),775,168,257,425,-7,343,,,,,,,42
3,Atlanta Thrashers,Zach Bogosian,US,D,18,2022,Peterborough (OHL),712,55,151,206,-75,654,,,,,,,35.4
3,Colorado Avalanche,Matt Duchene,CA,C,18,2022,Brampton (OHL),877,276,374,650,-99,214,,,,,,,67.9
3,Florida Panthers,Erik Gudbranson,CA,D,18,2022,Kingston (OHL),616,25,64,89,-92,693,,,,,,,15.3
3,Florida Panthers,Jonathan Huberdeau,CA,C,18,2022,Saint John (QMJHL),645,186,387,573,29,315,,,,,,,60.7
3,Montreal Canadiens,Alex Galchenyuk,US,C,18,2022,Sarnia (OHL),617,144,201,345,-70,239,,,,,,,35.5
3,Tampa Bay Lightning,Jonathan Drouin,CA,LW,18,2022,Halifax (QMJHL),425,75,177,252,-68,167,,,,,,,20.4
4,Carolina Hurricanes,Andrew Ladd,CA,LW,18,2022,Calgary (WHL),992,255,292,547,29,609,,,,,,,59.5
4,Minnesota Wild,Benoit Pouliot,CA,LW,18,2018,Sudbury (OHL),625,130,133,263,25,371,,,,,,,30.9
4,Washington Capitals,Nicklas Backstrom,SE,C,18,2022,Brynas Gavle (Sweden),1034,262,734,996,116,482,,,,,,,103.5
4,Los Angeles Kings,Thomas Hickey,CA,D,18,2022,Seattle (WHL),456,22,95,117,37,190,,,,,,,23.8
4,St. Louis Blues,Alex Pietrangelo,CA,D,18,2022,Niagara (OHL),852,123,379,502,95,293,,,,,,,96.2
4,Atlanta Thrashers,Evander Kane,CA,LW,18,2022,Vancouver (WCHL),785,271,248,519,-58,1004,,,,,,,58.1
4,Columbus Blue Jackets,Ryan Johansen,CA,C,18,2022,Portland (WHL),759,164,338,502,5,468,,,,,,,49.5
4,New Jersey Devils,Adam Larsson,SE,D,18,2022,Skelleftea (Sweden),659,29,123,152,0,381,,,,,,,35.5
4,New York Islanders,Griffin Reinhart,CA,D,18,2016,Edmonton (WHL),37,0,2,2,-5,26,,,,,,,0.4
4,Nashville Predators,Seth Jones,US,D,18,2022,Portland (WHL),631,68,253,321,-50,218,,,,,,,51.8
5,Phoenix Coyotes,Blake Wheeler,US,RW,18,2022,Breck (High-MN),1021,286,558,844,71,681,,,,,,,91.1
5,Montreal Canadiens,Carey Price,CA,G,18,2021,Tri-City (WHL),707,0,13,13,0,51,707,360,257,79,0.917,2.5,136.4
5,Boston Bruins,Phil Kessel,US,RW,18,2022,Minnesota (WCHA),1176,397,540,937,-138,350,,,,,,,101.3
5,Washington Capitals,Karl Alzner,CA,D,18,2020,Calgary (WHL),686,20,110,130,54,219,,,,,,,32.1
5,Toronto Maple Leafs,Luke Schenn,CA,D,18,2022,Kelowna (WHL),837,36,127,163,-50,651,,,,,,,30.7
5,Los Angeles Kings,Brayden Schenn,CA,C,18,2022,Brandon (WHL),751,211,286,497,-4,417,,,,,,,53.4
5,New York Islanders,Nino Niederreiter,CH,RW,18,2022,Portland (WHL),705,173,180,353,54,332,,,,,,,41
5,New York Islanders,Ryan Strome,CA,C,18,2022,Niagara (OHL),597,121,221,342,27,362,,,,,,,33
5,Toronto Maple Leafs,Morgan Rielly,CA,D,18,2022,Moose Jaw (WHL),626,65,284,349,-20,169,,,,,,,50
5,Carolina Hurricanes,Elias Lindholm,SE,C,18,2022,Brynas (Sweden),634,164,257,421,2,150,,,,,,,42.8
6,New York Rangers,Al Montoya,US,G,19,2018,Michigan (CCHA),169,0,5,5,0,12,168,67,49,24,0.908,2.65,23.7
6,Columbus Blue Jackets,Gilbert Brule,CA,C,18,2014,Vancouver (WCHL),299,43,52,95,-39,156,,,,,,,7.3
6,Columbus Blue Jackets,Derick Brassard,CA,C,18,2022,Drummondville (QMJHL),928,198,316,514,-31,425,,,,,,,51.2
6,Edmonton Oilers,Sam Gagner,CA,C,18,2022,London (OHL),940,177,317,494,-134,419,,,,,,,42.6
6,Columbus Blue Jackets,Nikita Filatov,RU,LW,18,2012,CSKA Moscow 2 (Russia-3),53,6,8,14,7,20,,,,,,,1.4
6,Phoenix Coyotes,Oliver Ekman-Larsson,SE,D,18,2022,Leksand (Sweden-2),822,132,272,404,-111,518,,,,,,,70.7
6,Tampa Bay Lightning,Brett Connolly,CA,RW,18,2022,Prince George (WHL),536,101,94,195,9,241,,,,,,,19.4
6,Ottawa Senators,Mika Zibanejad,SE,C,18,2022,Djurgarden (Sweden),658,220,268,488,-9,183,,,,,,,54
6,Anaheim Ducks,Hampus Lindholm,SE,D,18,2022,Rogle Jr. (Sweden-Jr.),574,57,162,219,79,312,,,,,,,48.5
6,Calgary Flames,Sean Monahan,CA,C,18,2022,Ottawa (OHL),644,212,249,461,-44,151,,,,,,,49.8
7,Florida Panthers,Rostislav Olesz,CZ,LW,18,2014,Vitkovice (Czech),365,57,77,134,-11,118,,,,,,,9.8
7,Chicago Blackhawks,Jack Skille,US,RW,18,2017,U.S. National U-18 (USNTDP),368,43,41,84,-52,118,,,,,,,5.3
7,New York Islanders,Kyle Okposo,US,RW,18,2022,Des Moines (USHL),884,212,338,550,-123,476,,,,,,,52.8
7,Columbus Blue Jackets,Jakub Voracek,CZ,RW,18,2022,Halifax (QMJHL),1020,218,560,778,-20,511,,,,,,,74.9
7,Nashville Predators,Colin Wilson,US,C,18,2020,Boston University (H-East),632,113,173,286,32,138,,,,,,,29.5
7,Toronto Maple Leafs,Nazem Kadri,CA,C,18,2022,London (OHL),720,213,280,493,-5,572,,,,,,,53.3
7,Carolina Hurricanes,Jeff Skinner,CA,C,18,2022,Kitchener (OHL),826,286,232,518,-137,354,,,,,,,60.1
7,Winnipeg Jets,Mark Scheifele,CA,C,18,2022,Barrie (OHL),623,221,331,552,59,256,,,,,,,62.5
7,Minnesota Wild,Mathew Dumba,CA,D,18,2022,Red Deer (WHL),502,72,143,215,37,305,,,,,,,40.8
7,Edmonton Oilers,Darnell Nurse,CA,D,18,2022,Sault Ste. Marie (OHL),454,51,129,180,28,388,,,,,,,35.1
8,Columbus Blue Jackets,Alexandre Picard,CA,LW,18,2010,Lewiston (QMJHL),67,0,2,2,-9,58,,,,,,,-1.1
8,San Jose Sharks,Devin Setoguchi,CA,RW,18,2017,Saskatoon (WHL),516,131,130,261,-11,177,,,,,,,29.2
8,Phoenix Coyotes,Peter Mueller,US,C,18,2013,Everett (WHL),297,63,97,160,-35,98,,,,,,,15.1
8,Boston Bruins,Zach Hamill,CA,C,18,2012,Everett (WHL),20,0,4,4,5,4,,,,,,,0.2
8,Phoenix Coyotes,Mikkel Boedker,DK,RW,18,2020,Kitchener (OHL),709,118,209,327,-71,116,,,,,,,27.4
8,Dallas Stars,Scott Glennie,CA,RW,18,2012,Brandon (WHL),1,0,0,0,0,2,,,,,,,0
8,Atlanta Thrashers,Alexander Burmistrov,RU,C,18,2018,Barrie (OHL),348,37,64,101,-31,139,,,,,,,4.9
8,Philadelphia Flyers,Sean Couturier,US,C,18,2022,Drummondville (QMJHL),721,180,280,460,82,277,,,,,,,47
8,Pittsburgh Penguins,Derrick Pouliot,CA,D,18,2020,Portland (WHL),202,8,40,48,-35,81,,,,,,,6.6
8,Buffalo Sabres,Rasmus Ristolainen,FI,D,18,2022,TPS (Finland),589,48,210,258,-175,313,,,,,,,37
9,Anaheim Ducks,Ladislav Smid,CZ,D,18,2016,Liberec (Czech),583,12,60,72,-68,472,,,,,,,15.1
9,Ottawa Senators,Brian Lee,US,D,18,2013,Moorhead (High-MN),209,5,31,36,-37,124,,,,,,,4.8
9,Minnesota Wild,James Sheppard,CA,C,18,2015,Cape Breton (QMJHL),394,23,68,91,-38,192,,,,,,,3
9,San Jose Sharks,Logan Couture,CA,C,18,2022,Ottawa (OHL),818,291,326,617,41,230,,,,,,,74.7
